Equipment_Type,Temperature,Pressure,Vibration,Operating_Hours,Failure_Class
Boiler,212.99,60.89,0.0,84110,Healthy
Pump,47.16,9.68,0.94,21394,Healthy
Heat Exchanger,199.05,15.52,0.0,96714,Warning
Instrumentation,106.74,17.63,0.0,66802,Warning
Generator,67.19,0.0,1.25,39011,Healthy
Instrumentation,1.84,5.84,0.0,38543,Healthy
Boiler,251.72,53.04,0.0,18344,Healthy
Pump,49.59,5.61,1.87,33914,Healthy
Furnace,594.2,5.6,0.0,43583,Healthy
Reactor,447.06,84.39,0.0,301113,Failure
Heat Exchanger,86.99,4.73,0.0,52909,Healthy
Pipeline,114.23,35.37,0.0,52655,Healthy
Compressor,180.37,63.12,5.25,171534,Failure
Instrumentation,6.08,23.65,0.0,37901,Healthy
Compressor,130.15,36.87,1.14,36380,Healthy
Distillation Column,201.35,5.03,0.0,32880,Healthy
Pump,59.45,12.26,2.52,56674,Healthy
Furnace,347.34,3.06,0.0,63049,Healthy
Turbine,243.83,57.74,0.95,84224,Healthy
Distillation Column,303.79,2.18,0.0,145510,Warning
Distillation Column,207.73,5.49,0.0,26645,Healthy
Generator,38.96,0.0,1.9,123482,Warning
Generator,65.33,0.0,0.82,41709,Healthy
Turbine,195.74,40.5,2.33,77645,Healthy
Pipeline,124.79,35.99,0.0,24878,Healthy
Cooling System,32.77,2.14,1.79,73752,Warning
Generator,100.99,0.0,2.15,147216,Critical
Turbine,425.62,39.48,3.99,152844,Critical
Compressor,132.93,37.7,1.76,45763,Healthy
Boiler,168.77,64.3,0.0,31655,Healthy
Pump,66.65,12.54,2.11,52719,Healthy
Furnace,943.81,10.14,0.0,259410,Failure
Boiler,155.75,36.69,0.0,97099,Healthy
Furnace,554.69,2.47,0.0,17255,Healthy
Turbine,242.29,26.24,1.52,84198,Healthy
Cooling System,37.37,2.52,1.01,40035,Healthy
Pipeline,28.87,46.47,0.0,94329,Healthy
Instrumentation,58.8,11.96,0.0,22450,Healthy
Distillation Column,144.57,3.76,0.0,98941,Healthy
Pump,82.98,9.03,0.53,31627,Healthy
Motor,52.97,0.0,1.81,19773,Healthy
Furnace,580.33,3.49,0.0,99022,Healthy
Furnace,674.1,2.88,0.0,99810,Healthy
Boiler,265.29,62.03,0.0,88661,Healthy
Boiler,219.56,32.33,0.0,56454,Healthy
Motor,68.38,0.0,2.34,57593,Warning
Motor,61.1,0.0,1.5,7504,Healthy
Heat Exchanger,115.52,18.09,0.0,74847,Healthy
Turbine,187.59,55.35,2.29,17559,Healthy
Turbine,468.96,103.76,4.15,204434,Failure
Valve,261.88,54.32,0.0,243310,Failure
Boiler,340.16,117.04,0.0,198350,Critical
Instrumentation,125.02,40.91,0.0,96377,Failure
Generator,102.3,0.0,2.5,193097,Critical
Pump,65.37,15.85,2.52,20162,Healthy
Cooling System,40.98,3.71,1.23,36416,Healthy
Compressor,121.35,16.08,2.51,15719,Healthy
Distillation Column,336.81,7.74,0.0,190454,Critical
Distillation Column,291.9,3.58,0.0,127583,Warning
Storage Tank,78.29,2.6,0.0,185808,Warning
Generator,73.66,0.0,0.65,60274,Healthy
Compressor,178.25,61.73,5.28,165823,Failure
Turbine,263.8,33.36,3.42,111348,Warning
Valve,142.4,2.1,0.0,42560,Healthy
Pipeline,101.55,51.85,0.0,157405,Warning
Distillation Column,219.21,1.59,0.0,24555,Healthy
Heat Exchanger,261.97,30.21,0.0,207169,Failure
Boiler,204.04,33.64,0.0,65439,Healthy
Turbine,299.05,62.87,3.48,130710,Warning
Valve,224.64,47.21,0.0,194882,Critical
Instrumentation,123.28,41.69,0.0,104212,Failure
Pipeline,139.9,10.76,0.0,28660,Healthy
Pipeline,103.06,43.82,0.0,51513,Healthy
Furnace,718.07,3.02,0.0,56992,Healthy
Compressor,160.34,18.85,4.41,137182,Critical
Motor,54.16,0.0,1.08,50204,Healthy
Pump,58.26,18.31,2.9,78175,Warning
Pump,73.86,9.74,3.47,108771,Warning
Instrumentation,57.03,8.67,0.0,9327,Healthy
Storage Tank,63.27,1.71,0.0,93456,Healthy
Heat Exchanger,116.86,15.77,0.0,86191,Healthy
Valve,39.47,5.07,0.0,46177,Healthy
Instrumentation,28.23,10.8,0.0,23286,Healthy
Generator,102.49,0.0,2.26,168880,Critical
Furnace,850.13,9.27,0.0,221471,Critical
Cooling System,46.29,7.52,1.27,79343,Warning
Compressor,107.19,21.61,2.5,50748,Healthy
Boiler,333.49,106.04,0.0,173541,Critical
Compressor,148.41,36.46,1.58,72465,Warning
Heat Exchanger,97.48,4.71,0.0,31067,Healthy
Storage Tank,42.01,1.05,0.0,68988,Healthy
Furnace,773.42,2.27,0.0,167241,Warning
Heat Exchanger,159.13,10.9,0.0,44308,Healthy
Storage Tank,46.25,0.0,0.0,105875,Healthy
Storage Tank,37.48,1.83,0.0,38722,Healthy
Pump,87.14,10.3,0.99,45134,Healthy
Motor,104.4,0.0,3.3,150854,Failure
Cooling System,44.23,4.6,0.98,18529,Healthy
Pipeline,74.8,54.82,0.0,180577,Warning
Boiler,185.27,71.89,0.0,26211,Healthy
Motor,86.07,0.0,2.75,89654,Critical
Furnace,884.3,9.61,0.0,219051,Critical
Pipeline,60.68,27.67,0.0,110645,Healthy
Reactor,420.52,70.93,0.0,230518,Critical
Compressor,124.84,23.82,2.0,42866,Healthy
Valve,122.12,41.86,0.0,118650,Warning
Distillation Column,207.89,5.74,0.0,88849,Healthy
Cooling System,24.96,7.76,1.51,113757,Warning
Reactor,287.57,38.25,0.0,21574,Healthy
Boiler,313.07,27.17,0.0,126130,Warning
Instrumentation,2.56,24.01,0.0,26735,Healthy
Furnace,857.1,8.86,0.0,229992,Critical
Motor,82.35,0.0,2.03,55173,Warning
Compressor,158.57,31.44,1.56,71851,Warning
Compressor,127.66,35.1,3.93,79994,Warning
Heat Exchanger,232.47,26.1,0.0,177174,Critical
Reactor,460.35,79.93,0.0,281565,Failure
Furnace,883.0,9.21,0.0,184351,Critical
Generator,67.43,0.0,1.25,52677,Healthy
Storage Tank,81.14,4.1,0.0,240050,Critical
Motor,103.42,0.0,3.09,131557,Failure
Storage Tank,34.89,3.94,0.0,217712,Warning
Instrumentation,60.16,4.48,0.0,6820,Healthy
Furnace,911.05,10.04,0.0,297218,Failure
Valve,85.6,20.37,0.0,19082,Healthy
Valve,141.25,16.39,0.0,14722,Healthy
Reactor,339.93,29.35,0.0,85449,Healthy
Reactor,339.71,25.7,0.0,100204,Healthy
Motor,98.55,0.0,3.01,149256,Failure
Boiler,240.28,41.95,0.0,84963,Healthy
Compressor,79.29,46.58,2.66,83205,Warning
Turbine,462.31,99.88,4.4,207121,Failure
Furnace,951.29,10.7,0.0,299181,Failure
Distillation Column,344.2,7.11,0.0,209610,Critical
Generator,77.62,0.0,0.62,30873,Healthy
Pump,67.75,15.72,1.27,41569,Healthy
Generator,98.14,0.0,1.12,126752,Warning
Motor,54.87,0.0,2.39,69397,Warning
Pipeline,167.96,56.51,0.0,256064,Critical
Heat Exchanger,174.91,14.64,0.0,48375,Healthy
Turbine,302.17,62.99,1.23,69370,Healthy
Furnace,570.97,7.62,0.0,120765,Warning
Boiler,252.09,58.19,0.0,56917,Healthy
Pump,79.4,10.42,0.82,60765,Healthy
Motor,70.87,0.0,1.84,22824,Healthy
Heat Exchanger,133.9,9.22,0.0,78624,Healthy
Instrumentation,40.03,19.7,0.0,19962,Healthy
Distillation Column,327.14,7.63,0.0,195300,Critical
Cooling System,41.79,6.24,0.59,12123,Healthy
Pipeline,175.16,58.6,0.0,225410,Critical
Compressor,93.25,15.17,3.89,63367,Warning
Motor,87.4,0.0,2.54,105110,Critical
Valve,143.81,5.64,0.0,79386,Healthy
Generator,81.91,0.0,1.93,128650,Warning
Storage Tank,34.99,1.34,0.0,136890,Healthy
Boiler,178.17,42.28,0.0,27931,Healthy
Compressor,152.67,33.08,3.19,67505,Warning
Distillation Column,148.94,3.88,0.0,27418,Healthy
Cooling System,43.05,4.75,1.15,42809,Healthy
